Sistema de Colas Simple
Cliente 95:  5.905 minutos
Cliente 96:  6.175 minutos
Cliente 97:  1.429 minutos
Cliente 98:  9.123 minutos
Cliente 99:  3.612 minutos
Cliente 100:  3.729 minutos
Cliente 101:  3.670 minutos
Cliente 102:  9.074 minutos
Cliente 103: 12.311 minutos
Cliente 104: 15.682 minutos
Cliente 105: 15.977 minutos
Cliente 106:  3.668 minutos
Cliente 107: 10.910 minutos
Cliente 108:  5.473 minutos
Cliente 109:  2.738 minutos
Cliente 110: 12.069 minutos
Cliente 111:  1.355 minutos
Cliente 112: 15.767 minutos
Cliente 113:  0.413 minutos
Cliente 114:  0.630 minutos
Cliente 115:  6.298 minutos
Cliente 116:  0.329 minutos
Cliente 117: 16.154 minutos
Cliente 118:  6.848 minutos
Cliente 119: 12.442 minutos
Cliente 120:  3.398 minutos
Cliente 121:  3.651 minutos
Cliente 122: 42.516 minutos
Cliente 123:  3.997 minutos
Cliente 124:  1.374 minutos
Cliente 125:  2.622 minutos
Cliente 126: 18.440 minutos
Cliente 127:  3.212 minutos
Cliente 128:  6.183 minutos
Cliente 129:  5.628 minutos
Cliente 130:  8.527 minutos
Cliente 131:  4.499 minutos
Cliente 132:  3.521 minutos
Cliente 133: 18.734 minutos
Cliente 134:  3.214 minutos
Cliente 135:  1.621 minutos
Cliente 136:  0.949 minutos
Cliente 137:  4.334 minutos
Cliente 138:  2.914 minutos
Cliente 139:  5.496 minutos
Cliente 140: 10.141 minutos
Cliente 141:  2.249 minutos
Cliente 142:  7.074 minutos
Cliente 143:  2.714 minutos
Cliente 144: 15.059 minutos
Cliente 145:  2.633 minutos
Cliente 146:  7.437 minutos
Cliente 147:  5.299 minutos
Cliente 148:  4.759 minutos
Cliente 149:  8.301 minutos
Cliente 150: 11.564 minutos
Cliente 151: 20.316 minutos
Cliente 152: 28.464 minutos
Cliente 153:  6.458 minutos
Cliente 154:  4.311 minutos
Cliente 155:  4.013 minutos
Cliente 156:  2.325 minutos
Cliente 157:  9.584 minutos
Cliente 158:  2.408 minutos
Cliente 159:  0.375 minutos
Cliente 160:  1.863 minutos
Cliente 161: 29.309 minutos
Cliente 162:  1.051 minutos
Cliente 163:  8.162 minutos
Cliente 164:  4.206 minutos
Cliente 165:  0.283 minutos
Cliente 166:  6.672 minutos
Cliente 167:  5.755 minutos
Cliente 168:  3.742 minutos
Cliente 169:  0.023 minutos
Cliente 170:  3.775 minutos
Cliente 171:  7.751 minutos
Cliente 172: 11.172 minutos
Cliente 173:  8.406 minutos
Cliente 174: 53.493 minutos
Cliente 175: 13.059 minutos
Cliente 176:  1.440 minutos
Cliente 177:  7.610 minutos
Cliente 178: 33.413 minutos
Cliente 179:  4.998 minutos
Cliente 180:  4.278 minutos
Cliente 181:  4.464 minutos
Cliente 182:  2.786 minutos
Cliente 183:  5.263 minutos
Cliente 184:  2.677 minutos
Cliente 185:  0.659 minutos
Cliente 186: 37.215 minutos
Cliente 187:  0.774 minutos
Cliente 188: 14.607 minutos
Cliente 189:  1.961 minutos
Cliente 190:  3.818 minutos
Cliente 191: 10.283 minutos
Cliente 192: 12.645 minutos
Cliente 193: 31.522 minutos
Cliente 194: 16.065 minutos
Cliente 195:  8.213 minutos
Cliente 196:  0.200 minutos
Cliente 197:  0.744 minutos
Cliente 198:  2.732 minutos
Cliente 199:  0.414 minutos
Cliente 200:  9.890 minutos
Cliente 201:  1.291 minutos
Cliente 202:  6.138 minutos
Cliente 203: 22.658 minutos
Cliente 204:  8.677 minutos
Cliente 205:  9.227 minutos
Cliente 206:  0.386 minutos
Cliente 207: 32.004 minutos
Cliente 208: 13.898 minutos
Cliente 209:  8.056 minutos
Cliente 210: 30.920 minutos
Cliente 211:  5.204 minutos
Cliente 212:  0.027 minutos
Cliente 213: 43.334 minutos
Cliente 214:  2.468 minutos
Cliente 215:  5.656 minutos
Cliente 216:  0.194 minutos
Cliente 217: 56.437 minutos
Cliente 218: 12.029 minutos
Cliente 219: 10.660 minutos
Cliente 220:  3.826 minutos
Cliente 221:  0.840 minutos
Cliente 222:  9.622 minutos
Cliente 223:  2.174 minutos
Cliente 224: 18.368 minutos
Cliente 225:  4.181 minutos
Cliente 226:  8.589 minutos
Cliente 227: 30.150 minutos
Cliente 228:  3.984 minutos
Cliente 229:  1.558 minutos
Cliente 230:  2.574 minutos
Cliente 231:  5.289 minutos
Cliente 232: 11.125 minutos
Cliente 233:  8.379 minutos
Cliente 234:  5.253 minutos
Cliente 235:  7.561 minutos
Cliente 236: 12.847 minutos
Cliente 237:  8.709 minutos
Cliente 238:  3.948 minutos
Cliente 239:  1.632 minutos
Cliente 240:  3.900 minutos
Cliente 241:  1.214 minutos
Cliente 242:  5.475 minutos
Cliente 243: 19.592 minutos
Cliente 244: 18.003 minutos
Cliente 245:  8.522 minutos
Cliente 246:  4.419 minutos
Cliente 247:  6.759 minutos
Cliente 248:  7.788 minutos
Cliente 249:  4.061 minutos
Cliente 250: 11.133 minutos
Cliente 251:  3.354 minutos
Cliente 252:  0.443 minutos
Cliente 253:  3.696 minutos
Cliente 254:  3.697 minutos
Cliente 255:  0.163 minutos
Cliente 256: 26.476 minutos
Cliente 257:  3.391 minutos
Cliente 258: 13.796 minutos
Cliente 259: 72.718 minutos
Cliente 260:  4.030 minutos
Cliente 261: 17.978 minutos
Cliente 262:  7.928 minutos
Cliente 263:  1.196 minutos
Cliente 264: 21.978 minutos
Cliente 265: 12.343 minutos
Cliente 266:  3.514 minutos
Cliente 267: 12.204 minutos
Cliente 268: 15.435 minutos
Cliente 269:  4.045 minutos
Cliente 270: 10.115 minutos
Cliente 271:  6.968 minutos
Cliente 272: 12.506 minutos
Cliente 273: 16.872 minutos
Cliente 274: 26.308 minutos
Cliente 275:  1.705 minutos
Cliente 276:  7.126 minutos
Cliente 277:  3.000 minutos
Cliente 278: 11.840 minutos
Cliente 279: 10.106 minutos
Cliente 280: 10.476 minutos
Cliente 281:  6.906 minutos
Cliente 282: 16.722 minutos
Cliente 283: 10.950 minutos
Cliente 284:  0.949 minutos
Cliente 285:  0.929 minutos
Cliente 286: 17.144 minutos
Cliente 287:  2.163 minutos
Cliente 288:  2.702 minutos
Cliente 289: 16.129 minutos
Cliente 290:  9.894 minutos
Cliente 291: 14.459 minutos
Cliente 292: 11.903 minutos
Cliente 293: 10.494 minutos
Cliente 294:  8.394 minutos
Cliente 295:  6.806 minutos
Cliente 296:  7.442 minutos
Cliente 297: 15.728 minutos
Cliente 298: 13.208 minutos
Cliente 299:  6.032 minutos
Cliente 300:  5.100 minutos
Cliente 301:  4.909 minutos
Cliente 302:  0.459 minutos
Cliente 303:  1.410 minutos
Cliente 304:  0.896 minutos
Cliente 305:  4.654 minutos
Cliente 306:  6.469 minutos
Cliente 307:  6.036 minutos
Cliente 308:  1.697 minutos
Cliente 309:  8.458 minutos
Cliente 310: 30.246 minutos
Cliente 311: 14.824 minutos
Cliente 312:  0.477 minutos
Cliente 313:  7.693 minutos
Cliente 314:  2.704 minutos
Cliente 315:  2.755 minutos
Cliente 316:  8.246 minutos
Cliente 317:  3.345 minutos
Cliente 318:  5.450 minutos
Cliente 319:  0.481 minutos
Cliente 320:  2.803 minutos
Cliente 321:  3.963 minutos
Cliente 322: 50.458 minutos
Cliente 323:  2.978 minutos
Cliente 324:  8.560 minutos
Cliente 325:  1.197 minutos
Cliente 326: 13.440 minutos
Cliente 327: 18.333 minutos
Cliente 328:  4.694 minutos
Cliente 329: 29.692 minutos
Cliente 330:  4.950 minutos
Cliente 331:  6.150 minutos
Cliente 332:  1.352 minutos
Cliente 333:  3.244 minutos
Cliente 334:  7.218 minutos
Cliente 335: 11.336 minutos
Cliente 336:  4.018 minutos
Cliente 337:  2.292 minutos
Cliente 338:  6.364 minutos
Cliente 339:  0.171 minutos
Cliente 340:  0.397 minutos
Cliente 341:  5.021 minutos
Cliente 342:  0.361 minutos
Cliente 343: 11.605 minutos
Cliente 344:  2.641 minutos
Cliente 345: 23.659 minutos
Cliente 346:  0.957 minutos
Cliente 347:  2.100 minutos
Cliente 348: 12.268 minutos
Cliente 349: 22.598 minutos
Cliente 350: 26.105 minutos
Cliente 351: 16.509 minutos
Cliente 352:  8.595 minutos
Cliente 353:  7.353 minutos
Cliente 354:  2.269 minutos
Cliente 355:  1.002 minutos
Cliente 356:  3.601 minutos
Cliente 357:  4.113 minutos
Cliente 358: 15.615 minutos
Cliente 359: 14.427 minutos
Cliente 360:  0.598 minutos
Cliente 361:  2.816 minutos
Cliente 362:  1.066 minutos
Cliente 363: 34.299 minutos
Cliente 364:  3.802 minutos
Cliente 365:  4.378 minutos
Cliente 366: 18.457 minutos
Cliente 367:  1.130 minutos
Cliente 368: 13.840 minutos
Cliente 369:  1.503 minutos
Cliente 370:  5.859 minutos
Cliente 371:  1.218 minutos
Cliente 372:  5.592 minutos
Cliente 373:  4.568 minutos
Cliente 374:  2.937 minutos
Cliente 375: 11.145 minutos
Cliente 376:  4.094 minutos
Cliente 377:  0.363 minutos
Cliente 378: 12.168 minutos
Cliente 379:  3.692 minutos
Cliente 380:  6.819 minutos
Cliente 381:  8.133 minutos
Cliente 382: 22.830 minutos
Cliente 383: 17.312 minutos
Cliente 384:  4.969 minutos
Cliente 385: 19.207 minutos
Cliente 386: 37.487 minutos
Cliente 387: 13.011 minutos
Cliente 388:  6.341 minutos
Cliente 389:  3.255 minutos
Cliente 390:  0.240 minutos
Cliente 391: 17.509 minutos
Cliente 392:  0.744 minutos
Cliente 393:  4.449 minutos
Cliente 394:  5.675 minutos
Cliente 395: 16.546 minutos
Cliente 396: 39.458 minutos
Cliente 397:  7.992 minutos
Cliente 398:  2.882 minutos
Cliente 399:  2.179 minutos
Cliente 400:  2.331 minutos
Cliente 401: 33.239 minutos
Cliente 402:  0.350 minutos
Cliente 403:  1.188 minutos
Cliente 404:  1.460 minutos
Cliente 405:  1.341 minutos
Cliente 406:  0.812 minutos
Cliente 407:  5.308 minutos
Cliente 408:  2.243 minutos
Cliente 409: 32.732 minutos
Cliente 410:  0.738 minutos
Cliente 411:  3.476 minutos
Cliente 412:  2.328 minutos
Cliente 413:  4.861 minutos
Cliente 414:  7.331 minutos
Cliente 415:  2.335 minutos
Cliente 416:  6.120 minutos
Cliente 417:  4.646 minutos
Cliente 418:  5.603 minutos
Cliente 419: 11.128 minutos
Cliente 420: 11.414 minutos
Cliente 421:  3.745 minutos
Cliente 422:  2.750 minutos
Cliente 423:  5.870 minutos
Cliente 424:  1.240 minutos
Cliente 425:  2.825 minutos
Cliente 426:  7.189 minutos
Cliente 427:  8.295 minutos
Cliente 428:  2.370 minutos
Cliente 429: 19.886 minutos
Cliente 430:  0.991 minutos
Cliente 431:  1.347 minutos
Cliente 432:  7.675 minutos
Cliente 433:  0.432 minutos
Cliente 434:  1.979 minutos
Cliente 435:  4.085 minutos
Cliente 436:  1.135 minutos
Cliente 437: 18.206 minutos
Cliente 438:  1.262 minutos
Cliente 439:  5.262 minutos
Cliente 440:  4.944 minutos
Cliente 441: 12.006 minutos
Cliente 442: 12.260 minutos
Cliente 443:  7.594 minutos
Cliente 444:  4.732 minutos
Cliente 445:  6.096 minutos
Cliente 446: 16.677 minutos
Cliente 447:  3.940 minutos
Cliente 448:  7.276 minutos
Cliente 449:  6.883 minutos
Cliente 450:  3.263 minutos
Cliente 451:  0.844 minutos
Cliente 452:  0.817 minutos
Cliente 453: 12.593 minutos
Cliente 454: 17.357 minutos
Cliente 455: 21.863 minutos
Cliente 456:  1.235 minutos
Cliente 457: 12.905 minutos
Cliente 458: 23.306 minutos
Cliente 459: 13.185 minutos
Cliente 460:  2.604 minutos
Cliente 461:  2.981 minutos
Cliente 462:  5.447 minutos
Cliente 463:  4.185 minutos
Cliente 464: 17.729 minutos
Cliente 465: 14.362 minutos
Cliente 466: 22.482 minutos
Cliente 467: 12.038 minutos
Cliente 468: 18.273 minutos
Cliente 469:  0.396 minutos
Cliente 470: 11.885 minutos
Cliente 471: 12.545 minutos
Cliente 472:  3.777 minutos
Cliente 473:  2.505 minutos
Cliente 474:  6.701 minutos
Cliente 475:  2.200 minutos
Cliente 476: 11.383 minutos
Cliente 477:  0.671 minutos
Cliente 478: 13.851 minutos
Cliente 479:  5.584 minutos
Cliente 480: 15.502 minutos
Cliente 481: 14.053 minutos
Cliente 482:  5.140 minutos
Cliente 483: 14.501 minutos
Cliente 484:  9.950 minutos
Cliente 485: 14.088 minutos
Cliente 486:  0.657 minutos
Cliente 487:  4.063 minutos
Cliente 488:  1.558 minutos
Cliente 489: 13.894 minutos
Cliente 490:  0.390 minutos
Cliente 491:  0.155 minutos
Cliente 492:  4.547 minutos
Cliente 493:  0.562 minutos
Cliente 494: 20.059 minutos
Cliente 495:  1.555 minutos
Cliente 496:  8.216 minutos
Cliente 497:  4.728 minutos
Cliente 498:  7.118 minutos
Cliente 499:  0.486 minutos
Cliente 500:  2.009 minutos
Cliente 501: 24.629 minutos
Cliente 502:  0.842 minutos
Cliente 503:  6.887 minutos
Cliente 504:  2.393 minutos
Cliente 505: 10.432 minutos
Cliente 506: 19.897 minutos
Cliente 507:  7.708 minutos
Cliente 508: 13.027 minutos
Cliente 509:  7.961 minutos
Cliente 510:  3.896 minutos
Cliente 511: 12.239 minutos
Cliente 512:  8.387 minutos
Cliente 513:  7.606 minutos
Cliente 514: 10.025 minutos
Cliente 515: 19.891 minutos
Cliente 516: 14.185 minutos
Cliente 517:  0.767 minutos
Cliente 518:  2.981 minutos
Cliente 519:  0.996 minutos
Cliente 520:  6.737 minutos
Cliente 521:  0.261 minutos
Cliente 522:  1.121 minutos
Cliente 523:  0.988 minutos
Cliente 524:  0.457 minutos
Cliente 525: 16.706 minutos
Cliente 526: 13.729 minutos
Cliente 527:  3.292 minutos
Cliente 528: 12.437 minutos
Cliente 529:  0.171 minutos
Cliente 530:  1.887 minutos
Cliente 531:  0.467 minutos
Cliente 532:  5.537 minutos
Cliente 533: 49.053 minutos
Cliente 534:  2.450 minutos
Cliente 535: 41.062 minutos
Cliente 536:  0.498 minutos
Cliente 537:  0.074 minutos
Cliente 538:  2.655 minutos
Cliente 539:  0.436 minutos
Cliente 540: 24.032 minutos
Cliente 541:  0.458 minutos
Cliente 542:  9.388 minutos
Cliente 543: 11.923 minutos
Cliente 544:  5.267 minutos
Cliente 545:  4.056 minutos
Cliente 546: 21.249 minutos
Cliente 547:  0.379 minutos
Cliente 548: 10.568 minutos
Cliente 549:  1.980 minutos
Cliente 550:  3.844 minutos
Cliente 551:  9.948 minutos
Cliente 552: 33.077 minutos
Cliente 553:  3.101 minutos
Cliente 554:  4.738 minutos
Cliente 555:  0.153 minutos
Cliente 556:  5.401 minutos
Cliente 557: 14.482 minutos
Cliente 558:  3.102 minutos
Cliente 559:  1.676 minutos
Cliente 560:  0.374 minutos
Cliente 561:  3.069 minutos
Cliente 562:  2.150 minutos
Cliente 563:  6.288 minutos
Cliente 564:  0.968 minutos
Cliente 565:  4.489 minutos
Cliente 566:  1.522 minutos
Cliente 567: 35.795 minutos
Cliente 568:  9.599 minutos
Cliente 569:  1.727 minutos
Cliente 570:  5.679 minutos
Cliente 571:  3.753 minutos
Cliente 572:  0.086 minutos
Cliente 573:  0.375 minutos
Cliente 574:  8.320 minutos
Cliente 575: 12.343 minutos
Cliente 576: 12.341 minutos
Cliente 577:  7.963 minutos
Cliente 578: 22.816 minutos
Cliente 579: 16.142 minutos
Cliente 580:  8.126 minutos
Cliente 581:  5.763 minutos
Cliente 582: 21.765 minutos
Cliente 583:  1.764 minutos
Cliente 584:  1.280 minutos
Cliente 585:  2.755 minutos
Cliente 586:  0.652 minutos
Cliente 587:  1.924 minutos
Cliente 588: 10.223 minutos
Cliente 589: 13.040 minutos
Cliente 590:  1.140 minutos
Cliente 591:  2.741 minutos
Cliente 592:  9.775 minutos
Cliente 593:  5.260 minutos
Cliente 594:  1.460 minutos
Cliente 595: 30.070 minutos
Cliente 596: 12.920 minutos
Cliente 597:  8.129 minutos
Cliente 598:  1.594 minutos
Cliente 599:  1.692 minutos
Cliente 600:  4.075 minutos
Cliente 601: 10.615 minutos
Cliente 602:  5.168 minutos
Cliente 603: 26.467 minutos
Cliente 604:  5.508 minutos
Cliente 605:  2.776 minutos
Cliente 606:  3.272 minutos
Cliente 607:  2.123 minutos
Cliente 608:  1.327 minutos
Cliente 609:  9.796 minutos
Cliente 610:  0.498 minutos
Cliente 611:  1.130 minutos
Cliente 612: 11.250 minutos
Cliente 613:  3.935 minutos
Cliente 614:  5.035 minutos
Cliente 615: 56.757 minutos
Cliente 616:  8.990 minutos
Cliente 617:  5.760 minutos
Cliente 618: 12.272 minutos
Cliente 619:  0.713 minutos
Cliente 620:  0.010 minutos
Cliente 621:  3.646 minutos
Cliente 622:  5.174 minutos
Cliente 623:  1.804 minutos
Cliente 624:  7.798 minutos
Cliente 625: 17.307 minutos
Cliente 626:  6.941 minutos
Cliente 627:  1.734 minutos
Cliente 628:  0.997 minutos
Cliente 629:  2.161 minutos
Cliente 630: 28.283 minutos
Cliente 631: 10.743 minutos
Cliente 632: 12.149 minutos
Cliente 633:  2.523 minutos
Cliente 634:  9.561 minutos
Cliente 635:  6.909 minutos
Cliente 636:  0.074 minutos
Cliente 637:  2.082 minutos
Cliente 638:  9.905 minutos
Cliente 639: 36.019 minutos
Cliente 640:  1.957 minutos
Cliente 641:  6.542 minutos
Cliente 642:  1.329 minutos
Cliente 643: 14.883 minutos
Cliente 644:  8.566 minutos
Cliente 645:  3.332 minutos
Cliente 646: 11.891 minutos
Cliente 647:  2.951 minutos
Cliente 648: 60.743 minutos
Cliente 649:  8.310 minutos
Cliente 650:  5.568 minutos
Cliente 651:  2.542 minutos
Cliente 652:  4.610 minutos
Cliente 653: 14.784 minutos
Cliente 654:  1.663 minutos
Cliente 655: 11.576 minutos
Cliente 656: 14.577 minutos
Cliente 657: 13.229 minutos
Cliente 658:  6.465 minutos
Cliente 659: 19.836 minutos
Cliente 660: 15.913 minutos
Cliente 661: 28.256 minutos
Cliente 662:  2.953 minutos
Cliente 663:  1.842 minutos
Cliente 664:  6.102 minutos
Cliente 665: 44.578 minutos
Cliente 666:  1.939 minutos
Cliente 667:  3.756 minutos
Cliente 668:  8.232 minutos
Cliente 669:  6.347 minutos
Cliente 670:  1.577 minutos
Cliente 671: 14.672 minutos
Cliente 672: 22.067 minutos
Cliente 673:  1.988 minutos
Cliente 674:  6.420 minutos
Cliente 675:  7.819 minutos
Cliente 676:  5.774 minutos
Cliente 677:  4.703 minutos
Cliente 678:  1.741 minutos
Cliente 679: 14.902 minutos
Cliente 680:  2.104 minutos
Cliente 681:  8.996 minutos
Cliente 682: 10.688 minutos
Cliente 683: 10.283 minutos
Cliente 684:  5.184 minutos
Cliente 685:  1.655 minutos
Cliente 686:  1.269 minutos
Cliente 687: 13.958 minutos
Cliente 688:  2.518 minutos
Cliente 689:  0.155 minutos
Cliente 690:  7.258 minutos
Cliente 691: 28.814 minutos
Cliente 692:  3.652 minutos
Cliente 693: 15.091 minutos
Cliente 694:  0.807 minutos
Cliente 695:  6.996 minutos
Cliente 696: 11.839 minutos
Cliente 697:  5.867 minutos
Cliente 698:  1.521 minutos
Cliente 699: 11.868 minutos
Cliente 700: 11.546 minutos
Cliente 701:  3.224 minutos
Cliente 702:  3.079 minutos
Cliente 703:  1.595 minutos
Cliente 704: 23.604 minutos
Cliente 705:  7.970 minutos
Cliente 706:  1.673 minutos
Cliente 707: 23.063 minutos
Cliente 708: 10.776 minutos
Cliente 709:  0.928 minutos
Cliente 710: 17.718 minutos
Cliente 711:  1.235 minutos
Cliente 712:  3.866 minutos
Cliente 713:  5.538 minutos
Cliente 714: 10.984 minutos
Cliente 715:  2.610 minutos
Cliente 716: 28.647 minutos
Cliente 717:  5.824 minutos
Cliente 718:  6.658 minutos
Cliente 719: 10.423 minutos
Cliente 720:  1.575 minutos
Cliente 721:  3.703 minutos
Cliente 722:  5.836 minutos
Cliente 723:  2.972 minutos
Cliente 724: 12.695 minutos
Cliente 725:  6.576 minutos
Cliente 726:  1.992 minutos
Cliente 727:  3.936 minutos
Cliente 728:  3.047 minutos
Cliente 729:  9.560 minutos
Cliente 730:  0.536 minutos
Cliente 731:  4.160 minutos
Cliente 732:  1.365 minutos
Cliente 733: 26.501 minutos
Cliente 734: 36.045 minutos
Cliente 735: 16.535 minutos
Cliente 736:  8.129 minutos
Cliente 737:  7.248 minutos
Cliente 738:  4.343 minutos
Cliente 739:  2.100 minutos
Cliente 740:  3.893 minutos
Cliente 741:  4.712 minutos
Cliente 742:  4.904 minutos
Cliente 743: 20.957 minutos
Cliente 744:  8.824 minutos
Cliente 745: 15.484 minutos
Cliente 746: 11.772 minutos
Cliente 747: 11.104 minutos
Cliente 748: 18.560 minutos
Cliente 749:  4.430 minutos
Cliente 750:  9.919 minutos
Cliente 751:  4.481 minutos
Cliente 752: 20.194 minutos
Cliente 753:  6.498 minutos
Cliente 754:  3.381 minutos
Cliente 755:  9.298 minutos
Cliente 756:  5.065 minutos
Cliente 757:  6.652 minutos
Cliente 758:  4.539 minutos
Cliente 759: 10.939 minutos
Cliente 760: 20.084 minutos
Cliente 761:  2.874 minutos
Cliente 762:  5.009 minutos
Cliente 763:  9.332 minutos
Cliente 764:  4.247 minutos
Cliente 765: 11.335 minutos
Cliente 766: 16.775 minutos
Cliente 767: 16.240 minutos
Cliente 768:  7.994 minutos
Cliente 769: 25.307 minutos
Cliente 770:  6.590 minutos
Cliente 771: 10.317 minutos
Cliente 772: 13.350 minutos
Cliente 773:  4.217 minutos
Cliente 774:  2.429 minutos
Cliente 775:  9.374 minutos
Cliente 776:  2.273 minutos
Cliente 777:  0.415 minutos
Cliente 778:  1.767 minutos
Cliente 779:  9.143 minutos
Cliente 780:  1.195 minutos
Cliente 781:  1.928 minutos
Cliente 782:  4.485 minutos
Cliente 783: 16.959 minutos
Cliente 784:  5.594 minutos
Cliente 785: 25.418 minutos
Cliente 786:  5.226 minutos
Cliente 787:  0.008 minutos
Cliente 788: 12.307 minutos
Cliente 789: 24.618 minutos
Cliente 790:  6.684 minutos
Cliente 791: 17.011 minutos
Cliente 792:  2.176 minutos
Cliente 793:  1.519 minutos
Cliente 794:  1.401 minutos
Cliente 795:  8.762 minutos
Cliente 796:  2.819 minutos
Cliente 797:  3.834 minutos
Cliente 798:  1.023 minutos
Cliente 799:  0.088 minutos
Cliente 800: 13.208 minutos
Cliente 801:  2.089 minutos
Cliente 802:  6.958 minutos
Cliente 803: 15.072 minutos
Cliente 804:  1.618 minutos
Cliente 805: 14.949 minutos
Cliente 806:  0.763 minutos
Cliente 807: 21.937 minutos
Cliente 808:  5.691 minutos
Cliente 809:  1.113 minutos
Cliente 810:  1.147 minutos
Cliente 811: 32.909 minutos
Cliente 812:  1.013 minutos
Cliente 813:  3.659 minutos
Cliente 814:  6.531 minutos
Cliente 815: 26.152 minutos
Cliente 816:  7.074 minutos
Cliente 817: 17.641 minutos
Cliente 818:  7.143 minutos
Cliente 819:  6.037 minutos
Cliente 820: 25.132 minutos
Cliente 821:  4.393 minutos
Cliente 822:  3.387 minutos
Cliente 823: 25.995 minutos
Cliente 824: 15.922 minutos
Cliente 825: 26.277 minutos
Cliente 826:  1.076 minutos
Cliente 827:  0.890 minutos
Cliente 828:  3.498 minutos
Cliente 829: 18.692 minutos
Cliente 830: 10.086 minutos
Cliente 831: 15.476 minutos
Cliente 832: 15.603 minutos
Cliente 833:  9.136 minutos
Cliente 834: 13.041 minutos
Cliente 835:  4.122 minutos
Cliente 836: 14.263 minutos
Cliente 837:  9.587 minutos
Cliente 838:  9.825 minutos
Cliente 839:  4.552 minutos
Cliente 840: 10.147 minutos
Cliente 841:  3.320 minutos
Cliente 842: 28.461 minutos
Cliente 843:  2.549 minutos
Cliente 844: 11.030 minutos
Cliente 845:  6.210 minutos
Cliente 846:  1.481 minutos
Cliente 847:  2.724 minutos
Cliente 848:  4.743 minutos
Cliente 849:  1.894 minutos
Cliente 850:  7.371 minutos
Cliente 851: 21.574 minutos
Cliente 852:  3.082 minutos
Cliente 853:  1.332 minutos
Cliente 854:  2.887 minutos
Cliente 855:  0.381 minutos
Cliente 856:  5.725 minutos
Cliente 857:  4.134 minutos
Cliente 858:  7.870 minutos
Cliente 859:  1.571 minutos
Cliente 860:  1.654 minutos
Cliente 861:  0.766 minutos
Cliente 862: 13.264 minutos
Cliente 863:  4.407 minutos
Cliente 864:  4.263 minutos
Cliente 865:  5.833 minutos
Cliente 866: 10.952 minutos
Cliente 867:  6.108 minutos
Cliente 868: 12.992 minutos
Cliente 869: 14.869 minutos
